,x,l,d,q,e,L,T
0,56,"9,353,323","45,438",0.004858,26.50,"9,330,604","247,854,130"
1,57,"9,307,885","49,583",0.005327,25.63,"9,283,094","238,523,526"
2,58,"9,258,302","54,578",0.005895,24.76,"9,231,013","229,240,432"
3,59,"9,203,724","60,321",0.006554,23.90,"9,173,564","220,009,419"
4,60,"9,143,403","66,683",0.007293,23.06,"9,110,062","210,835,855"
5,61,"9,076,720","73,531",0.008101,22.22,"9,039,955","201,725,793"
6,62,"9,003,189","80,723",0.008966,21.40,"8,962,828","192,685,838"
7,63,"8,922,466","88,172",0.009882,20.59,"8,878,380","183,723,010"
8,64,"8,834,294","96,002",0.010867,19.79,"8,786,293","174,844,630"
9,65,"8,738,292","104,353",0.011942,19.00,"8,686,116","166,058,337"
10,66,"8,633,939","113,364",0.013130,18.23,"8,577,257","157,372,221"
11,67,"8,520,575","123,148",0.014453,17.46,"8,459,001","148,794,964"
12,68,"8,397,427","133,805",0.015934,16.71,"8,330,525","140,335,963"
13,69,"8,263,622","145,341",0.017588,15.97,"8,190,952","132,005,438"
14,70,"8,118,281","157,746",0.019431,15.25,"8,039,408","123,814,486"
15,71,"7,960,535","170,976",0.021478,14.54,"7,875,047","115,775,078"
16,72,"7,789,559","184,963",0.023745,13.85,"7,697,078","107,900,031"
17,73,"7,604,596","199,605",0.026248,13.18,"7,504,794","100,202,953"
18,74,"7,404,991","214,863",0.029016,12.52,"7,297,560","92,698,159"
19,75,"7,190,128","230,652",0.032079,11.88,"7,074,802","85,400,599"
20,76,"6,959,476","246,825",0.035466,11.25,"6,836,064","78,325,797"
21,77,"6,712,651","263,190",0.039208,10.65,"6,581,056","71,489,733"
22,78,"6,449,461","279,500",0.043337,10.06,"6,309,711","64,908,677"
23,79,"6,169,961","295,516",0.047896,9.50,"6,022,203","58,598,966"
24,80,"5,874,445","310,946",0.052932,8.95,"5,718,972","52,576,763"
25,81,"5,563,499","325,403",0.058489,8.42,"5,400,798","46,857,791"
26,82,"5,238,096","338,454",0.064614,7.91,"5,068,869","41,456,993"
27,83,"4,899,642","349,619",0.071356,7.43,"4,724,833","36,388,124"
28,84,"4,550,023","358,442",0.078778,6.96,"4,370,802","31,663,291"
29,85,"4,191,581","364,441",0.086946,6.51,"4,009,361","27,292,489"
30,86,"3,827,140","367,118",0.095925,6.08,"3,643,581","23,283,128"
31,87,"3,460,022","366,012",0.105783,5.68,"3,277,016","19,639,547"
32,88,"3,094,010","360,721",0.116587,5.29,"2,913,650","16,362,531"
33,89,"2,733,289","351,006",0.128419,4.92,"2,557,786","13,448,881"
34,90,"2,382,283","336,762",0.141361,4.57,"2,213,902","10,891,095"
35,91,"2,045,521","318,072",0.155497,4.24,"1,886,485","8,677,193"
36,92,"1,727,449","295,237",0.170909,3.93,"1,579,831","6,790,708"
37,93,"1,432,212","268,799",0.187681,3.64,"1,297,813","5,210,877"
38,94,"1,163,413","239,529",0.205885,3.36,"1,043,649","3,913,064"
39,95,"923,884","208,425",0.225596,3.11,"819,672","2,869,415"
40,96,"715,459","176,638",0.246887,2.86,"627,140","2,049,743"
41,97,"538,821","145,390",0.269830,2.64,"466,126","1,422,603"
42,98,"393,431","115,858",0.294480,2.43,"335,502","956,477"
43,99,"277,573","89,048",0.320809,2.24,"233,049","620,975"
44,100,"188,525","65,752",0.348771,2.06,"155,649","387,926"
45,101,"122,773","46,447",0.378319,1.89,"99,550","232,277"
46,102,"76,326","31,248",0.409406,1.74,"60,702","132,727"
47,103,"45,078","19,924",0.441987,1.60,"35,116","72,025"
48,104,"25,154","11,974",0.476030,1.47,"19,167","36,909"
49,105,"13,180","6,742",0.511501,1.35,"9,809","17,742"
50,106,"6,438","3,530",0.548371,1.23,"4,673","7,933"
51,107,"2,908","1,706",0.586607,1.12,"2,055","3,260"
52,108,"1,202",751,0.624558,1.00,827,"1,205"
53,109,451,299,0.662588,0.84,302,378
54,110,152,152,1.000000,0.50,76,76
