,x,l,d,q,e,L,T
0,,,,,"0
e
x",,
1,0,"10,000,000","52,400",0.005240,79.61,"9,973,800","796,113,496"
2,1,"9,947,600","8,993",0.000904,79.03,"9,943,104","786,139,696"
3,2,"9,938,607","6,202",0.000624,78.10,"9,935,506","776,196,592"
4,3,"9,932,405","4,370",0.000440,77.15,"9,930,220","766,261,086"
5,4,"9,928,035","3,256",0.000328,76.18,"9,926,407","756,330,866"
6,5,"9,924,779","2,779",0.000280,75.21,"9,923,390","746,404,459"
7,6,"9,922,000","2,461",0.000248,74.23,"9,920,770","736,481,069"
8,7,"9,919,539","2,222",0.000224,73.25,"9,918,428","726,560,299"
9,8,"9,917,317","2,063",0.000208,72.26,"9,916,286","716,641,871"
10,9,"9,915,254","1,904",0.000192,71.28,"9,914,302","706,725,585"
11,10,"9,913,350","1,903",0.000192,70.29,"9,912,399","696,811,283"
12,11,"9,911,447","1,903",0.000192,69.30,"9,910,496","686,898,884"
13,12,"9,909,544","2,140",0.000216,68.32,"9,908,474","676,988,388"
14,13,"9,907,404","2,457",0.000248,67.33,"9,906,176","667,079,914"
15,14,"9,904,947","2,932",0.000296,66.35,"9,903,481","657,173,738"
16,15,"9,902,015","3,406",0.000344,65.37,"9,900,312","647,270,257"
17,16,"9,898,609","3,880",0.000392,64.39,"9,896,669","637,369,945"
18,17,"9,894,729","4,284",0.000433,63.41,"9,892,587","627,473,276"
19,18,"9,890,445","4,757",0.000481,62.44,"9,888,067","617,580,689"
20,19,"9,885,688","5,071",0.000513,61.47,"9,883,153","607,692,622"
21,20,"9,880,617","5,237",0.000530,60.50,"9,877,999","597,809,469"
22,21,"9,875,380","5,293",0.000536,59.54,"9,872,734","587,931,470"
23,22,"9,870,087","5,261",0.000533,58.57,"9,867,457","578,058,736"
24,23,"9,864,826","5,179",0.000525,57.60,"9,862,237","568,191,279"
25,24,"9,859,647","5,078",0.000515,56.63,"9,857,108","558,329,042"
26,25,"9,854,569","4,996",0.000507,55.66,"9,852,071","548,471,934"
27,26,"9,849,573","4,964",0.000504,54.68,"9,847,091","538,619,863"
28,27,"9,844,609","5,021",0.000510,53.71,"9,842,099","528,772,772"
29,28,"9,839,588","5,185",0.000527,52.74,"9,836,996","518,930,673"
30,29,"9,834,403","5,468",0.000556,51.77,"9,831,669","509,093,677"
31,30,"9,828,935","5,829",0.000593,50.80,"9,826,021","499,262,008"
32,31,"9,823,106","6,267",0.000638,49.82,"9,819,973","489,435,987"
33,32,"9,816,839","6,754",0.000688,48.86,"9,813,462","479,616,014"
34,33,"9,810,085","7,289",0.000743,47.89,"9,806,441","469,802,552"
35,34,"9,802,796","7,862",0.000802,46.92,"9,798,865","459,996,111"
36,35,"9,794,934","8,473",0.000865,45.96,"9,790,698","450,197,246"
37,36,"9,786,461","9,111",0.000931,45.00,"9,781,906","440,406,548"
38,37,"9,777,350","9,787",0.001001,44.04,"9,772,457","430,624,642"
39,38,"9,767,563","10,490",0.001074,43.09,"9,762,318","420,852,185"
40,39,"9,757,073","11,250",0.001153,42.13,"9,751,448","411,089,867"
41,40,"9,745,823","12,085",0.001240,41.18,"9,739,781","401,338,419"
42,41,"9,733,738","13,004",0.001336,40.23,"9,727,236","391,598,638"
43,42,"9,720,734","14,046",0.001445,39.28,"9,713,711","381,871,402"
44,43,"9,706,688","15,210",0.001567,38.34,"9,699,083","372,157,691"
45,44,"9,691,478","16,543",0.001707,37.40,"9,683,207","362,458,608"
46,45,"9,674,935","18,063",0.001867,36.46,"9,665,904","352,775,401"
47,46,"9,656,872","19,787",0.002049,35.53,"9,646,979","343,109,497"
48,47,"9,637,085","21,751",0.002257,34.60,"9,626,210","333,462,518"
49,48,"9,615,334","23,952",0.002491,33.68,"9,603,358","323,836,308"
50,49,"9,591,382","26,348",0.002747,32.76,"9,578,208","314,232,950"
51,50,"9,565,034","28,858",0.003017,31.85,"9,550,605","304,654,742"
52,51,"9,536,176","31,412",0.003294,30.95,"9,520,470","295,104,137"
53,52,"9,504,764","33,951",0.003572,30.05,"9,487,789","285,583,667"
54,53,"9,470,813","36,444",0.003848,29.15,"9,452,591","276,095,878"
55,54,"9,434,369","39,058",0.004140,28.26,"9,414,840","266,643,287"
56,55,"9,395,311","41,988",0.004469,27.38,"9,374,317","257,228,447"
