,x,l,d,q,e,L,T
0,56,"8,736,474","86,797",0.009935,e21x .76,"8,693,076","190,133,566"
1,57,"8,649,677","93,754",0.010839,20.98,"8,602,800","181,440,490"
2,58,"8,555,923","101,302",0.011840,20.20,"8,505,272","172,837,690"
3,59,"8,454,621","109,437",0.012944,19.44,"8,399,903","164,332,418"
4,60,"8,345,184","118,151",0.014158,18.69,"8,286,109","155,932,515"
5,61,"8,227,033","127,420",0.015488,17.95,"8,163,323","147,646,406"
6,62,"8,099,613","137,224",0.016942,17.22,"8,031,001","139,483,083"
7,63,"7,962,389","147,527",0.018528,16.51,"7,888,626","131,452,082"
8,64,"7,814,862","158,337",0.020261,15.81,"7,735,694","123,563,456"
9,65,"7,656,525","169,646",0.022157,15.13,"7,571,702","115,827,762"
10,66,"7,486,879","181,430",0.024233,14.46,"7,396,164","108,256,060"
11,67,"7,305,449","193,631",0.026505,13.81,"7,208,634","100,859,896"
12,68,"7,111,818","206,186",0.028992,13.17,"7,008,725","93,651,262"
13,69,"6,905,632","219,012",0.031715,12.55,"6,796,126","86,642,537"
14,70,"6,686,620","232,012",0.034698,11.94,"6,570,614","79,846,411"
15,71,"6,454,608","245,036",0.037963,11.35,"6,332,090","73,275,797"
16,72,"6,209,572","257,915",0.041535,10.78,"6,080,615","66,943,707"
17,73,"5,951,657","270,419",0.045436,10.23,"5,816,448","60,863,092"
18,74,"5,681,238","282,363",0.049701,9.69,"5,540,057","55,046,644"
19,75,"5,398,875","293,499",0.054363,9.17,"5,252,126","49,506,587"
20,76,"5,105,376","303,550",0.059457,8.67,"4,953,601","44,254,461"
21,77,"4,801,826","312,196",0.065016,8.18,"4,645,728","39,300,860"
22,78,"4,489,630","319,109",0.071077,7.72,"4,330,076","34,655,132"
23,79,"4,170,521","323,991",0.077686,7.27,"4,008,526","30,325,056"
24,80,"3,846,530","326,528",0.084889,6.84,"3,683,266","26,316,530"
25,81,"3,520,002","326,424",0.092734,6.43,"3,356,790","22,633,264"
26,82,"3,193,578","323,407",0.101268,6.04,"3,031,875","19,276,474"
27,83,"2,870,171","317,274",0.110542,5.66,"2,711,534","16,244,599"
28,84,"2,552,897","307,907",0.120611,5.30,"2,398,944","13,533,065"
29,85,"2,244,990","295,297",0.131536,4.96,"2,097,342","11,134,121"
30,86,"1,949,693","279,537",0.143375,4.63,"1,809,925","9,036,779"
31,87,"1,670,156","260,858",0.156188,4.33,"1,539,727","7,226,854"
32,88,"1,409,298","239,627",0.170033,4.04,"1,289,485","5,687,127"
33,89,"1,169,671","216,354",0.184970,3.76,"1,061,494","4,397,642"
34,90,"953,317","191,669",0.201055,3.50,"857,483","3,336,148"
35,91,"761,648","166,304",0.218348,3.25,"678,496","2,478,665"
36,92,"595,344","141,041",0.236907,3.02,"524,824","1,800,169"
37,93,"454,303","116,657",0.256783,2.81,"395,975","1,275,345"
38,94,"337,646","93,867",0.278003,2.60,"290,713","879,370"
39,95,"243,779","73,277",0.300589,2.41,"207,141","588,657"
40,96,"170,502","55,338",0.324559,2.24,"142,833","381,516"
41,97,"115,164","40,300",0.349936,2.07,"95,014","238,683"
42,98,"74,864","28,203",0.376717,1.92,"60,763","143,669"
43,99,"46,661","18,889",0.404815,1.78,"37,217","82,906"
44,100,"27,772","12,056",0.434119,1.65,"21,744","45,689"
45,101,"15,716","7,300",0.464520,1.52,"12,066","23,945"
46,102,"8,416","4,174",0.495908,1.41,"6,329","11,879"
47,103,"4,242","2,241",0.528175,1.31,"3,122","5,550"
48,104,"2,001","1,123",0.561225,1.21,"1,440","2,428"
49,105,878,522,0.594967,1.12,617,988
50,106,356,224,0.629307,1.04,244,371
51,107,132,88,0.664152,0.96,88,127
52,108,44,31,0.698078,0.88,29,39
53,109,13,10,0.731384,0.73,8,10
54,110,3,3,1.000000,0.50,2,2
